,Unnamed: 0,num_communique,date_communique,nbre_test,nbre_gueris,nbre_positifs,nbre_cas_contact,nbre_cas_communautaire,nbre_cas_importes,nbre_deces,nbre_cas_graves,nbre_vaccines
363,363,293.0,2020-12-19,1819.0,44.0,111.0,48.0,68.0,0.0,4.0,,
364,364,283.0,2020-12-09,1001.0,40.0,69.0,33.0,35.0,1.0,1.0,,
365,365,,2020-03-22,85.0,,11.0,5.0,,,,,
366,366,,2020-06-04,1348.0,99.0,89.0,74.0,15.0,,,16.0,
367,367,346.0,2021-02-10,,285.0,276.0,72.0,204.0,0.0,12.0,,
368,368,109.0,2020-06-18,1406.0,110.0,106.0,93.0,13.0,,3.0,,
369,369,67.0,2020-05-07,1027.0,69.0,59.0,51.0,8.0,,0.0,,
370,370,328.0,2021-01-23,2389.0,195.0,250.0,86.0,164.0,0.0,8.0,,
371,371,124.0,2020-07-03,1078.0,67.0,110.0,80.0,29.0,1.0,4.0,,
372,372,64.0,2020-05-04,807.0,43.0,89.0,86.0,3.0,,,6.0,
373,373,410.0,2021-04-15,1315.0,,46.0,15.0,31.0,0.0,,,
374,374,117.0,2020-06-26,1087.0,31.0,121.0,79.0,27.0,15.0,4.0,,
375,375,350.0,2021-02-14,2116.0,221.0,366.0,160.0,206.0,0.0,7.0,,
376,376,419.0,2021-04-24,1638.0,,60.0,28.0,32.0,0.0,,,
377,377,325.0,2021-01-20,1380.0,199.0,250.0,76.0,174.0,0.0,10.0,,
