,num_communique,date_communique,nbre_test,nbre_gueris,nbre_positifs,nbre_cas_contact,nbre_cas_communautaire,nbre_cas_importes,nbre_deces,nbre_cas_graves,nbre_vaccines
80,260.0,16-11-2020,608.0,5.0,8.0,2.0,4.0,2.0,1.0,,
81,73.0,13-5-2020,920.0,40.0,110.0,102.0,8.0,,0.0,,
82,246.0,2-11-2020,653.0,101.0,7.0,2.0,5.0,,0.0,,
83,259.0,15-11-2020,862.0,9.0,14.0,7.0,7.0,0.0,1.0,,
84,203.0,20-9-2020,1224.0,107.0,26.0,10.0,12.0,4.0,0.0,,
85,220.0,,,62.0,33.0,10.0,16.0,7.0,1.0,,
86,199.0,16-9-2020,1169.0,64.0,39.0,21.0,18.0,,1.0,,
87,415.0,20-4-2021,911.0,61.0,15.0,7.0,8.0,0.0,,,
88,231.0,18-10-2020,1156.0,58.0,26.0,7.0,16.0,3.0,0.0,,
89,58.0,28-4-2020,873.0,12.0,87.0,86.0,1.0,,,2.0,
90,322.0,17-1-2021,2239.0,172.0,290.0,118.0,172.0,0.0,6.0,,
91,145.0,24-7-2020,1602.0,121.0,156.0,122.0,34.0,,4.0,,
92,148.0,27-7-2020,1083.0,68.0,83.0,64.0,19.0,,3.0,,
93,388.0,24-3-2021,1906.0,,178.0,71.0,107.0,0.0,,,
94,306.0,1-1-2021,,121.0,224.0,88.0,136.0,0.0,0.0,,
95,,14-1-2021,1837.0,185.0,295.0,105.0,189.0,,7.0,,
96,302.0,28-12-2020,1194.0,95.0,119.0,45.0,74.0,0.0,2.0,,
97,217.0,4-10-2020,1181.0,54.0,26.0,8.0,17.0,1.0,0.0,,
98,198.0,15-9-2020,727.0,129.0,15.0,9.0,,1.0,1.0,,
99,184.0,1¢*-9-2020,944.0,45.0,44.0,25.0,18.0,1.0,0.0,,
100,239.0,26-10-2020,576.0,62.0,14.0,2.0,7.0,5.0,1.0,,
101,74.0,14-5-2020,992.0,60.0,84.0,73.0,11.0,,0.0,,
102,,,195.0,14.0,15.0,15.0,,,,,
103,157.0,05-None-2020,1241.0,68.0,106.0,77.0,27.0,,4.0,,
104,307.0,2-1-2021,1654.0,58.0,147.0,40.0,107.0,0.0,6.0,,
105,186.0,3-9-2020,1032.0,47.0,83.0,42.0,41.0,,0.0,,
106,238.0,25-10-2020,1017.0,93.0,8.0,,5.0,0.0,0.0,,
107,177.0,25-None-2020,816.0,120.0,43.0,29.0,14.0,,2.0,,
108,206.0,23-9-2020,1005.0,97.0,36.0,10.0,26.0,,1.0,,
109,361.0,25-2-2021,2547.0,,288.0,99.0,189.0,0.0,,,
110,72.0,12-5-2020,1099.0,27.0,109.0,107.0,2.0,,,9.0,
111,399.0,04-4-2021,1834.0,,71.0,22.0,49.0,0.0,,,
112,243.0,30-10-2020,805.0,72.0,12.0,4.0,8.0,,0.0,,
113,170.0,18-None-2020,926.0,39.0,68.0,41.0,25.0,2.0,0.0,,
114,120.0,29-6-2020,956.0,50.0,112.0,99.0,13.0,,3.0,,
115,271.0,27-11-2020,921.0,11.0,21.0,11.0,10.0,0.0,1.0,,
116,140.0,19-7-2020,712.0,89.0,141.0,96.0,45.0,,4.0,,
117,383.0,19-3-2021,1655.0,,113.0,44.0,69.0,0.0,,,
118,,17-3-2020,,,,,,,,,
119,423.0,28-4-2021,1231.0,,56.0,18.0,38.0,0.0,,,
120,268.0,24-11-2020,524.0,1.0,11.0,5.0,6.0,0.0,1.0,,
121,397.0,02-4-2021,1823.0,,107.0,32.0,75.0,0.0,,,
122,354.0,18-2-2021,2128.0,,328.0,126.0,202.0,0.0,,,
123,108.0,17-6-2020,970.0,81.0,122.0,111.0,11.0,,3.0,,
124,414.0,19-4-2021,1221.0,,39.0,7.0,32.0,0.0,,,
125,68.0,08-5-2020,872.0,49.0,59.0,52.0,7.0,,,7.0,
126,,,272.0,,8.0,6.0,2.0,,,,
127,105.0,14-6-2020,1223.0,116.0,94.0,79.0,14.0,1.0,,22.0,
128,250.0,06-11-2020,768.0,21.0,8.0,2.0,5.0,1.0,0.0,,
129,256.0,12-11-2020,713.0,0.0,9.0,1.0,8.0,0.0,0.0,,
130,391.0,27-3-2021,1842.0,,102.0,47.0,55.0,0.0,,,
131,,,104.0,19.0,2.0,1.0,1.0,,,,
132,7.0,,110.0,18.0,11.0,9.0,2.0,,,,
133,384.0,20-3-2021,2214.0,,152.0,53.0,99.0,0.0,,,
134,394.0,30-3-2021,1073.0,,52.0,19.0,33.0,0.0,,,
135,289.0,15-12-2020,938.0,84.0,70.0,20.0,50.0,0.0,0.0,,
136,254.0,10-11-2020,597.0,17.0,9.0,0.0,7.0,2.0,0.0,,
137,279.0,05-12-2020,1224.0,24.0,100.0,29.0,71.0,0.0,1.0,,
138,76.0,16-5-2020,989.0,59.0,119.0,108.0,11.0,,,7.0,
