,num_communique,date_communique,nbre_test,nbre_gueris,nbre_positifs,nbre_cas_contact,nbre_cas_communautaire,nbre_cas_importes,nbre_deces,nbre_cas_graves,nbre_vaccines
339,364.0,28-2-2021,2308.0,,265.0,,169.0,0.0,,,
340,409.0,Un-None-Ue,1511.0,,65.0,21.0,44.0,0.0,,,
341,407.0,12-4-2021,1287.0,,34.0,11.0,23.0,0.0,,,
342,252.0,08-11-2020,797.0,19.0,15.0,4.0,11.0,,0.0,,
343,160.0,08-None-2020,1576.0,143.0,116.0,63.0,53.0,,4.0,,
344,96.0,05-6-2020,1700.0,114.0,134.0,104.0,30.0,,,15.0,
345,55.0,25-4-2020,703.0,14.0,69.0,63.0,,,,0.0,
346,374.0,07-3-2021,2057.0,,225.0,99.0,126.0,0.0,,,
347,374.0,10-3-2021,1390.0,,156.0,63.0,93.0,0.0,,,
348,418.0,23-4-2021,1225.0,,47.0,19.0,28.0,0.0,,,
349,404.0,09-4-2021,1441.0,,70.0,25.0,45.0,0.0,,,
350,299.0,25-12-2020,1364.0,48.0,169.0,71.0,97.0,1.0,5.0,,
351,84.0,24-5-2020,889.0,40.0,71.0,66.0,,1.0,,12.0,
352,118.0,27-6-2020,1009.0,62.0,105.0,84.0,21.0,,0.0,,
353,420.0,25-4-2021,1452.0,,53.0,10.0,43.0,0.0,,,
354,273.0,29-11-2020,1029.0,15.0,48.0,22.0,26.0,0.0,1.0,,
355,326.0,21-1-2021,2500.0,186.0,267.0,89.0,178.0,0.0,6.0,,
356,138.0,17-7-2020,1074.0,174.0,63.0,34.0,28.0,4.0,4.0,,
357,122.0,1*-7-2020,907.0,114.0,132.0,114.0,17.0,1.0,4.0,,
358,135.0,14-7-2020,764.0,66.0,45.0,33.0,10.0,2.0,0.0,,
359,,18-4-2020,,,8.0,3.0,5.0,,,,
360,181.0,29-None-2020,1328.0,142.0,72.0,39.0,32.0,1.0,3.0,,
361,115.0,24-6-2020,987.0,26.0,95.0,77.0,15.0,3.0,4.0,,
362,408.0,13-4-2021,999.0,,30.0,13.0,17.0,0.0,,,
363,293.0,19-12-2020,1819.0,44.0,111.0,48.0,68.0,0.0,4.0,,
364,283.0,09-12-2020,1001.0,40.0,69.0,33.0,35.0,1.0,1.0,,
365,,22-3-2020,85.0,,11.0,5.0,,,,,
366,,04-6-2020,1348.0,99.0,89.0,74.0,15.0,,,16.0,
367,346.0,10-2-2021,,285.0,276.0,72.0,204.0,0.0,12.0,,
368,109.0,18-6-2020,1406.0,110.0,106.0,93.0,13.0,,3.0,,
369,67.0,07-5-2020,1027.0,69.0,59.0,51.0,8.0,,0.0,,
370,328.0,23-1-2021,2389.0,195.0,250.0,86.0,164.0,0.0,8.0,,
371,124.0,03-7-2020,1078.0,67.0,110.0,80.0,29.0,1.0,4.0,,
372,64.0,04-5-2020,807.0,43.0,89.0,86.0,3.0,,,6.0,
373,410.0,15-4-2021,1315.0,,46.0,15.0,31.0,0.0,,,
374,117.0,26-6-2020,1087.0,31.0,121.0,79.0,27.0,15.0,4.0,,
375,350.0,14-2-2021,2116.0,221.0,366.0,160.0,206.0,0.0,7.0,,
376,419.0,24-4-2021,1638.0,,60.0,28.0,32.0,0.0,,,
377,325.0,20-1-2021,1380.0,199.0,250.0,76.0,174.0,0.0,10.0,,
378,137.0,16-7-2020,1178.0,130.0,112.0,84.0,28.0,,3.0,,
379,272.0,28-11-2020,1050.0,18.0,46.0,15.0,81.0,0.0,0.0,,
380,136.0,15-7-2020,804.0,25.0,126.0,90.0,34.0,2.0,3.0,,
381,379.0,15-3-2021,1330.0,,104.0,35.0,69.0,0.0,,,
382,180.0,28-None-2020,1250.0,117.0,90.0,50.0,40.0,,2.0,,
383,116.0,25-6-2020,985.0,90.0,104.0,75.0,29.0,,,24.0,
384,166.0,14-None-2020,1952.0,43.0,132.0,52.0,80.0,,5.0,,
385,294.0,20-12-2020,1356.0,29.0,88.0,29.0,58.0,1.0,4.0,,
386,86.0,26-5-2020,551.0,50.0,31.0,28.0,,,,18.0,
387,338.0,2-2-2021,1457.0,218.0,153.0,47.0,106.0,0.0,3.0,,
388,301.0,27-12-2020,1200.0,55.0,86.0,36.0,50.0,0.0,1.0,,
389,164.0,12-None-2020,1842.0,174.0,207.0,92.0,115.0,,4.0,,
390,377.0,13-3-2021,1702.0,,157.0,64.0,93.0,0.0,,,
391,417.0,22-4-2021,1392.0,,65.0,30.0,35.0,0.0,,,
392,57.0,27-4-2020,677.0,1.0,64.0,50.0,,,0.0,,
393,403.0,08-4-2021,1421.0,,73.0,29.0,44.0,0.0,,,
394,348.0,12-2-2021,,,462.0,201.0,261.0,0.0,,,
395,300.0,26-12-2020,1549.0,96.0,154.0,60.0,94.0,0.0,1.0,,
396,,06-3-2020,,,,,,,,,
397,211.0,28-9-2020,,,,,,,,,
398,56.0,26-4-2020,579.0,7.0,57.0,47.0,,1.0,0.0,0.0,
399,223.0,10-10-2020,1177.0,62.0,31.0,16.0,13.0,2.0,1.0,,
400,314.0,9-1-2021,2555.0,112.0,328.0,120.0,208.0,0.0,18.0,,
401,191.0,08-9-2020,788.0,51.0,30.0,18.0,11.0,1.0,1.0,,
402,226.0,13-10-2020,924.0,118.0,15.0,,17.0,6.0,0.0,,
403,378.0,14-3-2021,1817.0,,166.0,62.0,104.0,0.0,,,
404,349.0,13-2-2021,2287.0,272.0,265.0,93.0,172.0,0.0,6.0,,
405,165.0,13-None-2020,1730.0,49.0,153.0,47.0,106.0,,,51.0,
